customer_id,full_name,address,phone_number,sales_date_month,total_sales
7,Romil Shanker,Delhi,9129451313,5,586.0
7,Romil Shanker,Delhi,9129451313,6,290.0
7,Romil Shanker,Delhi,9129451313,7,161.5
7,Romil Shanker,Delhi,9129451313,8,214.0
8,Krish Tandon,Delhi,9145683399,3,362.0
8,Krish Tandon,Delhi,9145683399,4,211.5
8,Krish Tandon,Delhi,9145683399,5,272.0
8,Krish Tandon,Delhi,9145683399,6,544.0
8,Krish Tandon,Delhi,9145683399,7,442.0
8,Krish Tandon,Delhi,9145683399,8,372.0
9,Divij Garde,Delhi,9141984713,3,445.5
9,Divij Garde,Delhi,9141984713,4,220.0
9,Divij Garde,Delhi,9141984713,5,526.0
9,Divij Garde,Delhi,9141984713,6,498.0
9,Divij Garde,Delhi,9141984713,7,72.0
9,Divij Garde,Delhi,9141984713,8,304.0
10,Hunar Tank,Delhi,9169808085,3,92.0
10,Hunar Tank,Delhi,9169808085,4,272.0
10,Hunar Tank,Delhi,9169808085,5,396.0
10,Hunar Tank,Delhi,9169808085,6,90.0
10,Hunar Tank,Delhi,9169808085,7,617.5
10,Hunar Tank,Delhi,9169808085,8,633.5
11,Zara Dhaliwal,Delhi,9129776379,3,110.0
11,Zara Dhaliwal,Delhi,9129776379,4,312.0
11,Zara Dhaliwal,Delhi,9129776379,5,194.0
11,Zara Dhaliwal,Delhi,9129776379,6,324.0
11,Zara Dhaliwal,Delhi,9129776379,7,232.0
11,Zara Dhaliwal,Delhi,9129776379,8,1.5
12,Sumer Mangal,Delhi,9138607933,3,100.0
12,Sumer Mangal,Delhi,9138607933,4,532.0
12,Sumer Mangal,Delhi,9138607933,5,50.0
12,Sumer Mangal,Delhi,9138607933,6,91.5
12,Sumer Mangal,Delhi,9138607933,7,904.0
12,Sumer Mangal,Delhi,9138607933,8,220.0
13,Rhea Chander,Delhi,9103434731,3,150.0
13,Rhea Chander,Delhi,9103434731,4,586.0
13,Rhea Chander,Delhi,9103434731,5,182.0
13,Rhea Chander,Delhi,9103434731,6,616.0
13,Rhea Chander,Delhi,9103434731,7,290.0
13,Rhea Chander,Delhi,9103434731,8,232.0
14,Yuvaan Bawa,Delhi,9162077019,3,445.5
14,Yuvaan Bawa,Delhi,9162077019,4,115.0
14,Yuvaan Bawa,Delhi,9162077019,5,322.0
14,Yuvaan Bawa,Delhi,9162077019,6,292.0
14,Yuvaan Bawa,Delhi,9162077019,7,282.0
14,Yuvaan Bawa,Delhi,9162077019,8,105.5
15,Sahil Sabharwal,Delhi,9174928780,3,310.0
15,Sahil Sabharwal,Delhi,9174928780,4,270.0
15,Sahil Sabharwal,Delhi,9174928780,5,122.0
15,Sahil Sabharwal,Delhi,9174928780,6,313.5
15,Sahil Sabharwal,Delhi,9174928780,7,464.0
15,Sahil Sabharwal,Delhi,9174928780,8,162.0
16,Tiya Kashyap,Delhi,9105126094,3,212.0
16,Tiya Kashyap,Delhi,9105126094,4,323.0
16,Tiya Kashyap,Delhi,9105126094,5,760.0
16,Tiya Kashyap,Delhi,9105126094,6,492.0
16,Tiya Kashyap,Delhi,9105126094,7,407.5
16,Tiya Kashyap,Delhi,9105126094,8,352.0
17,Kimaya Lala,Delhi,9115616831,4,433.5
17,Kimaya Lala,Delhi,9115616831,5,390.0
17,Kimaya Lala,Delhi,9115616831,6,736.0
17,Kimaya Lala,Delhi,9115616831,7,320.0
17,Kimaya Lala,Delhi,9115616831,8,214.0
18,Vardaniya Jani,Delhi,9125068977,3,192.0
18,Vardaniya Jani,Delhi,9125068977,4,161.5
18,Vardaniya Jani,Delhi,9125068977,5,362.0
18,Vardaniya Jani,Delhi,9125068977,6,360.0
18,Vardaniya Jani,Delhi,9125068977,7,371.5
18,Vardaniya Jani,Delhi,9125068977,8,101.5
19,Indranil Dutta,Delhi,9120667755,3,262.0
19,Indranil Dutta,Delhi,9120667755,4,53.5
19,Indranil Dutta,Delhi,9120667755,5,370.0
19,Indranil Dutta,Delhi,9120667755,6,312.0
19,Indranil Dutta,Delhi,9120667755,7,466.0
19,Indranil Dutta,Delhi,9120667755,8,232.0
20,Kavya Sachar,Delhi,9157628717,3,474.0
20,Kavya Sachar,Delhi,9157628717,4,251.5
20,Kavya Sachar,Delhi,9157628717,5,524.0
20,Kavya Sachar,Delhi,9157628717,6,916.0
20,Kavya Sachar,Delhi,9157628717,7,715.5
20,Kavya Sachar,Delhi,9157628717,8,130.0
